;Nome;Academia;Acesso direto à praia;Animais permitidos;Bar na beira da Piscina;Bar no hotel;Cabeleireiro;Centro financeiro;Check-in / out Expresso;Cofre na recepção;Concierge;Elevador;Estacionamento;Guarda-sol;Lavanderia;Loja de conveniência;PC com Internet;Piscina exterior;Piscina interna;Quarto para não-fumantes;Recepção 24 horas;Restaurante;Sala de conferências;Serviço de portaria;Serviço de quarto;Serviço de quarto 24 horas;Spa;Terraço;Transfer de/ para aeroporto;Wi-Fi grátis no lobby;Acesso Wi-Fi nos quartos;Ar condicionado;Banheiro com banheira;Banheiro com ducha;Canais de TV via satélite;Cofre no quarto;Cozinha quitinete;Espelho de aumento;Ferro e tábua de passar;Geladeira;Internet;Mesa de trabalho;Microondas;Secador;Telefone;TV a cabo;TV LCD;Varanda / Terraço;Wi-Fi grátis nos quartos
0;Radisson Recife;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;0;1
1;Golden Tulip Recife Boa Viagem;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0
2;Mar Hotel Conventions;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1
3;Best Western Hotel Manibu Recife;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1
4;Hotel Atlante Plaza;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1
5;Beach Class Conselheiro By Nobile;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0
6;Transamérica Prestige Beach Class International;1;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1
7;Hotel Duble;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;1;0;1
8;Nobile Beach Class Executive;1;0;0;1;1;0;1;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;1
9;Recife Monte;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1
10;Recife Praia;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1
11;Bianca Praia;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0
12;Jangadeiro;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1
13;Internacional Palace;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1
14;Enseada da Boa Viagem;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;1
15;Parkhotel;0;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1
16;Bristol Recife Suites & Convention;1;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1
17;Canariu's Palace;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1
18;Boa Viagem Praia;1;1;1;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1
19;Onda Mar;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;0
20;Mercure Recife Navegantes;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1
21;Vivaz Boutique;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1
22;Nacional Inn Recife;1;0;0;0;1;0;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;1;0;1
23;Vila Rica Hotel;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1
24;Courtyard Recife Boa Viagem;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1
25;ibis Recife Boa Viagem;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1
26;Veraneio;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0
27; Recife Flat service;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1
28;Aconchego Recife;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
29;Navegantes Praia;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1
30;Novohotell Recife;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1
31;Imperial Suites;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1
32;Saveiro;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
33;Marante Plaza;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1
34;Enseada Aeroporto;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1
35;Recife Plaza;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1
36;Inter Hotel;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1
37;Uzi Praia;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1
38;Julieta;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1
39;Pousada Casuarinas;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1
40;Kruger Home;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1
41;Pousada Villa Boa Vista;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1;0;0;1;1;0;1
42;RecifeFlat CDU;1;0;1;0;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1
43;Mercure Recife Metropolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0
44;Imperador Residence;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1
45;LG Inn;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0
46;Arcada Hotel e Bistrô;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1
47;Ramon;0;1;0;0;1;0;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0
48;Pousada da Praia;0;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1;0;1
49;Boa Viagem;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1
50;Beach Class Excelsior By Nobile;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0
51;Guyamar;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0
52;Jaqueira Home Service;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
53;Pousada Praia Boa Viagem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
54;Raio de Sol;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1
55;Casa da Boa Vista;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1
56;Fundação Cecosne;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0
57;Park Way Home Service;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1
58;Betel Beach Flat;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1
59;Studio Portal dos Navegantes;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0
60;Aquamar Praia;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0
61;Boa Viagem Apartment;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1
62;Pousada do Forte;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
63;Hospedaria Casa Do Moinho;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
64;Mi Casa Su Casa;1;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1
65;Albergue Cultural São Salomão;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1;0;1
66;Bristol Recife Hotel & Convention;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
67;Pousada Vitoria;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1;0;1
68;Palanca Negra;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
69;Exclusive inn;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0
70;Estação do Mangue;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1
71;Pousada Recife Inn;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1
72;Flat Navegantes;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1
73;Motel Devaneios;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
74;Apart Boa Viagem Seaview;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0
75;Hotel Pousada da Praça;0;1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;1
76;Sobrado;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
77;ibis Recife Aeroporto;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
78;Coqueiral;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1
79;Nobile Beach Class Santa Maria;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;1
80;Ramada Suites Recife Boa Viagem;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
81;Pousada Lorde Inglês;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1
82;Suites Residence;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0
83;Mediterraneo;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
84;Vila Rica;1;0;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
85;Betel Flat  Executive;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1
86;Apto. Parque Da Jaqueira Home;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1
87;Lg Inn;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0
88;Pousada Asa Branca;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
89;Apartamento No Edificio Place Vendome;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;Dos Prazeres - Adult Only;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0
91;Henrique Dias;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
92;Praia Sul (Adults Only);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
